,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
18,tt0019480,Tire au flanc,1928,87,Comedy,6.3,284,FR,"Roland Caillaux,André Cerf,Fridette Fatton,Félix Oudart,Georges Pomiès,Manuel Raaby,Michel Simon,Jean Storm,Paul Velsa,Louis Zellas"
22,tt0020228,Les nouveaux messieurs,1929,135,Comedy,6.8,192,FR,"Léon Arvel,Charles Barrois,Georges Deneubourg,Guy Ferrant,Gustave Hamilton,Gaby Morlay,Raymond Narlay,Albert Préjean,Henry Roussel,Henri Valbel"
29,tt0021409,Sous les toits de Paris,1930,96,"Comedy,Drama,Musical",7.1,2492,FR,"Delphine Abdala,Raymond Aimos,Raymond Blot,Bill Bocket,Thomy Bourdelle,Edmond T. Gréville,Pola Illéry,Gaston Modot,Paul Ollivier,Albert Préjean"
31,tt0021671,Le blanc et le noir,1931,106,Comedy,5.4,127,FR,"André Alerme,Louis Baron fils,Charlotte Clasis,Suzanne Dantès,Fernandel,Louis Kerly,Charles Lamy,Paul Pauley,Raimu,Irène Wells"
37,tt0022125,Marius,1931,130,"Comedy,Drama,Romance",7.8,2571,FR,"Lucien Callamand,Fernand Charpin,Édouard Delmont,Orane Demazis,Paul Dullac,Pierre Fresnay,Alexandre Mihalesco,Raimu,Alida Rouffe,Robert Vattier"
39,tt0022150,Le million,1931,91,"Comedy,Musical",7.3,3847,FR,"Jean-Louis Allibert,Annabella,Vanda Gréville,Raymond Cordy,Pedro Elviro,René Lefèvre,Paul Ollivier,Jane Pierson,Constantin Siroesco,Odette Talazac"
42,tt0022599,À nous la liberté,1931,83,"Comedy,Musical",7.4,4975,FR,"Germaine Aussey,William Burke,Raymond Cordy,Rolla France,Vincent Hyspa,Léon Lorin,Henri Marchand,André Michaud,Paul Ollivier,Jacques Shelly"
43,tt0022718,Boudu sauvé des eaux,1932,85,Comedy,7.2,6218,FR,"Jacques Becker,Georges D'Arnoux,Max Dalban,Jean Dasté,Jean Gehret,Charles Granval,Marcelle Hainia,Sévérine Lerczinska,Michel Simon"
46,tt0022877,Fanny,1932,125,"Comedy,Drama",7.8,1930,FR,"Odette Roger,Fernand Charpin,Orane Demazis,Pierre Fresnay,Milly Mathis,Marcel Maupi,Auguste Mouriès,Raimu,Alida Rouffe,Robert Vattier"
47,tt0022924,Les gaîtés de l'escadron,1932,85,Comedy,5.9,192,FR,"Georges Bever,Charles Camus,René Donnio,Fernandel,Pierre Ferval,Jean Gabin,Pierre Labry,Frédéric Munié,Lucien Nat,Raimu"
49,tt0024480,Quatorze Juillet,1933,86,"Comedy,Romance",7.0,474,FR,"Raymond Aimos,Annabella,Thomy Bourdelle,Raymond Cordy,Marguerite de Morlaye,François Gir,Pola Illéry,Paul Ollivier,Jorge Rigaud"
52,tt0024844,L'Atalante,1934,89,"Comedy,Drama,Romance",7.7,17508,FR,"René Blech,Lou Bonin,Jean Dasté,Raphaël Diligent,Raphaël Diligent,Maurice Gilles,Louis Lefebvre,Gilles Margaritis,Dita Parlo,Michel Simon"
